,gross_return,turnover,transaction_cost,net_return,n_longs,n_shorts,gross_exposure
2023-11-07,0.0030968924071523027,0.10528131337305209,0.00010528131337305209,0.0029916110937792508,2,2,0.5318985619002796
2023-11-08,0.0062542227093300515,0.10970520397560118,0.00010970520397560119,0.0061445175053544505,2,2,0.6519011065702605
2023-11-09,-0.0007335889775866965,0.07658341793817522,7.658341793817522e-05,-0.0008101723955248717,3,2,0.6539807931439314
2023-11-10,-0.0014143122239500053,0.29594227495750447,0.00029594227495750446,-0.0017102544989075097,2,2,0.7784108449926856
2023-11-13,-0.0019383238654521588,0.04869486346425164,4.869486346425164e-05,-0.0019870187289164104,2,3,0.7711406722305216
2023-11-14,0.00527332513632695,0.3852736456061673,0.00038527364560616726,0.004888051490720783,2,2,0.6760874833084398
2023-11-15,-0.004637898928553231,0.1610370577519729,0.0001610370577519729,-0.004798935986305204,2,2,0.7915596739348252
2023-11-16,-0.0027532725235206194,0.1820139427178575,0.00018201394271785752,-0.002935286466238477,2,2,0.7639225369223408
2023-11-17,0.004966346591627897,0.2603251867057531,0.0002603251867057531,0.004706021404922144,2,2,0.7670406995479461
2023-11-20,-0.003589514530729491,0.4064652621904469,0.0004064652621904469,-0.003995979792919938,1,2,0.7625531300653604
2023-11-21,0.0021922924328986572,0.045720990214570524,4.5720990214570526e-05,0.0021465714426840868,1,2,0.7619679121781371
2023-11-22,0.0004213046258991341,0.1454576237024659,0.0001454576237024659,0.0002758470021966682,1,1,0.7638284263470403
2023-11-27,0.015045024764078886,0.002757115077903438,2.7571150779034383e-06,0.015042267649000983,1,1,0.7583141961912334
2023-11-28,-0.00012230284495214462,0.00017015770011230558,1.701577001123056e-07,-0.00012247300265225692,1,1,0.7579738807910088
2023-11-29,-0.0059827751783498315,0.006129539971900855,6.129539971900855e-06,-0.005988904718321733,1,1,0.7702329607348105
2023-11-30,0.0003399282990226866,0.05999999999999999,5.9999999999999995e-05,0.0002799282990226866,1,2,0.7237904856766804
2023-12-01,-0.025004105116692307,0.4892428997018922,0.0004892428997018923,-0.0254933480163942,0,2,0.3980495043979922
2023-12-04,-0.007868296668974624,0.057997928663500106,5.799792866350011e-05,-0.007926294597638125,0,2,0.4012926674136419
2023-12-05,0.001200365675394596,0.246717810755278,0.000246717810755278,0.000953647864639318,1,3,0.44582087567754136
2023-12-06,0.018018902515490327,0.4232314335594507,0.0004232314335594507,0.017595671081930876,1,2,0.7957531584823084
2023-12-07,0.010272325041792426,0.05999999999999999,5.9999999999999995e-05,0.010212325041792427,2,3,0.7954549195148363
2023-12-08,0.0013117840428120554,0.46706333635819747,0.00046706333635819746,0.000844720706453858,3,3,0.7947292626611041
2023-12-11,-0.00423667348207455,0.4124541575375796,0.0004124541575375796,-0.00464912763961213,2,2,0.8101191502357321
2023-12-12,0.005567131368539469,0.16046396527692303,0.00016046396527692302,0.005406667403262546,2,2,0.829421767065634
2023-12-13,-0.001497069697213299,0.09738188012883621,9.738188012883621e-05,-0.0015944515773421352,2,2,0.8364379862744231
2023-12-14,0.0001368716411857912,0.11999843148544878,0.00011999843148544878,1.6873209700342417e-05,2,3,0.8388074051888336
2023-12-15,0.0040361249452625205,0.23843695863982195,0.00023843695863982195,0.0037976879866226986,2,2,0.8378500863474413
2023-12-18,0.003615907156652884,0.23197209942916935,0.00023197209942916935,0.0033839350572237147,2,2,0.8433627006483404
2023-12-19,-0.0026973051795431795,0.2765932535983221,0.0002765932535983221,-0.0029738984331415014,2,3,0.8362516893690042
2023-12-20,5.915950109627356e-05,0.3669916379159077,0.0003669916379159077,-0.00030783213681963414,2,2,0.8401257319373834
2023-12-21,0.002045006794251546,0.059999999999999984,5.999999999999999e-05,0.0019850067942515457,2,3,0.8411743446171276
2023-12-22,-0.0008620379392367824,0.3573311382731714,0.0003573311382731714,-0.0012193690775099538,2,2,0.8477947600246256
2023-12-26,0.0002383576116576757,0.5194564003373793,0.0005194564003373793,-0.0002810987886797036,1,2,0.8518411012454614
2023-12-27,0.0014663315039090863,0.05999999999999999,5.9999999999999995e-05,0.0014063315039090864,1,2,0.851972408527249
2023-12-28,-0.0007278282840121305,0.3417450514551357,0.0003417450514551357,-0.0010695733354672663,1,1,0.7325898137125207
2023-12-29,0.0010277249246196446,0.15342062975013437,0.00015342062975013437,0.0008743042948695102,0,1,0.42671027888438806
2024-01-02,0.0012407352264568144,0.0013106268272950194,1.3106268272950195e-06,0.0012394245996295195,0,1,0.4293315325389781
2024-01-03,0.006107246647630989,0.059999999999999984,5.999999999999999e-05,0.006047246647630989,1,2,0.4703023474098442
2024-01-04,0.011160940617557662,0.5287816594945668,0.0005287816594945668,0.010632158958063095,1,2,0.8447514840383968
2024-01-05,0.010721999516783444,0.059999999999999984,5.999999999999999e-05,0.010661999516783444,1,2,0.7525472265451636
2024-01-08,0.0027425560965274286,0.05033090476591079,5.033090476591079e-05,0.0026922251917615176,1,2,0.6673462440440765
2024-01-09,0.007637485729021228,0.06777632032722399,6.777632032722398e-05,0.007569709408694004,2,2,0.6877317389944202
2024-01-10,-0.0036373757968081516,0.32276754364153915,0.00032276754364153913,-0.00396014334044969,3,3,0.8269413954311475
2024-01-11,-0.0016690793527042707,0.6670248952103259,0.0006670248952103259,-0.0023361042479145967,2,2,0.8286174762855221
2024-01-12,-0.027174319326502175,0.05163582661135485,5.1635826611354855e-05,-0.02722595515311353,2,2,0.8290850230365561
2024-01-16,-0.012507597376451022,0.29021084111261064,0.00029021084111261066,-0.012797808217563633,3,2,0.7756539559695746
2024-01-17,0.004350561314213628,0.6176329338384159,0.0006176329338384159,0.0037329283803752126,2,3,0.8293231476905654
2024-01-18,0.004295752034268812,0.28154979587218704,0.000281549795872187,0.004014202238396625,2,2,0.767352779463929
2024-01-19,0.0048114814234529795,0.11164083649779111,0.00011164083649779111,0.004699840586955189,3,2,0.6500675927623116
2024-01-22,0.008495683178167813,0.26886639243821414,0.0002688663924382141,0.008226816785729599,2,2,0.5502067582528729
2024-01-23,-0.006747493245432223,0.06340419432488087,6.340419432488087e-05,-0.006810897439757105,2,3,0.6238763276097319
2024-01-24,0.0013231682827034045,0.22950723706321646,0.00022950723706321647,0.0010936610456401881,2,2,0.725290123416743
2024-01-25,-0.0031962126262717115,0.11982723314876136,0.00011982723314876135,-0.003316039859420473,2,2,0.6837032173640634
2024-01-26,-0.004154188384429372,0.0638608124809153,6.38608124809153e-05,-0.004218049196910287,3,3,0.6978643593086246
2024-01-29,0.0006077649368129824,0.40144045671225786,0.0004014404567122579,0.00020632448010072456,2,2,0.5718838163445837
2024-01-30,0.003750466183543402,0.07336848657564174,7.336848657564174e-05,0.0036770976969677602,3,2,0.513455610491312
2024-01-31,0.0020424678676509377,0.30355059862722994,0.00030355059862722996,0.0017389172690237078,2,2,0.5268179692950771
2024-02-01,0.003187302988351961,0.06,6e-05,0.003127302988351961,2,2,0.4634087149867668
2024-02-02,-0.0004349359130077313,0.06554165562331553,6.554165562331553e-05,-0.0005004775686310468,3,3,0.46337935540398895
2024-02-05,-0.0010886915405638573,0.22604601881928316,0.00022604601881928316,-0.0013147375593831404,3,2,0.44564177386402215
2024-02-06,-0.0007591947840363191,0.3133644254209515,0.0003133644254209515,-0.0010725592094572706,2,2,0.6211538671562642
2024-02-07,0.002295307790469671,0.07882444694831565,7.882444694831565e-05,0.0022164833435213555,3,2,0.6286904191471422
2024-02-08,-0.00023356111589218666,0.3961912104646631,0.0003961912104646631,-0.0006297523263568498,2,2,0.7132265298562983
2024-02-09,0.000809888155040394,0.12380903034765421,0.00012380903034765422,0.0006860791246927398,2,2,0.7895968182438513
2024-02-12,-0.003927047595853907,0.16610635855537254,0.00016610635855537255,-0.00409315395440928,2,2,0.6816494494768652
2024-02-13,0.0010815031624239525,0.18799718593811487,0.0001879971859381149,0.0008935059764858376,2,2,0.49740283806461083
2024-02-14,0.0006148353340031328,0.09830006657992144,9.830006657992144e-05,0.0005165352674232113,3,3,0.47048283310038413
2024-02-15,-0.001014086715897157,0.31692628917666343,0.00031692628917666344,-0.0013310130050738205,2,2,0.3497578827042886
2024-02-16,-0.0038283350694821817,0.050976967786467244,5.0976967786467245e-05,-0.003879312037268649,1,2,0.4246705892056899
2024-02-20,0.0006102634402872678,0.049547622753715825,4.954762275371583e-05,0.000560715817533552,1,2,0.34192097953923295
2024-02-21,-8.264523066245908e-05,0.06,6e-05,-0.00014264523066245908,1,3,0.32443295969258307
2024-02-22,0.0006038691429911774,0.10319992740538053,0.00010319992740538053,0.0005006692155857969,1,2,0.2801766749470869
2024-02-23,0.001436522028122148,0.05665972448668101,5.665972448668101e-05,0.001379862303635467,1,2,0.28060829299194884
2024-02-26,0.0023537714507699528,0.042727903481433585,4.272790348143359e-05,0.0023110435472885192,1,2,0.25207236924926335
2024-02-27,-0.0012336063215582158,0.05999999999999999,5.9999999999999995e-05,-0.0012936063215582157,1,2,0.37207236924926335
2024-02-28,-0.003503605406945819,0.05290780723437828,5.290780723437828e-05,-0.0035565132141801973,1,2,0.4778879837180199
